college_name,rating,location,courses_offered,tution_fee,exams_accepted,highest_package
Sharda University,4.3,UTTAR PRADESH,B.Tech / B.E.,"₹8,45,000",Highest Package,20
Annamalai University,4,TAMIL NADU,B.Tech / B.E.,Get Fee Details,-,
Vallurupalli Nageswara Rao Vignana Jyothi Institute Of Engineering and Technology,3,TELANGANA,B.Tech / B.E.,"₹1,38,000",-,
Jaypee Institute of Information Technology - JIIT,4,UTTAR PRADESH,B.Tech / B.E.,"₹14,03,500",JEE Main,82
Gandhi Institute For Technological Advancement (GITA Bhubaneswar),4.5,ODISHA,B.Tech / B.E.,Get Fee Details,-,
Shri Vishnu Engineering College for Women,5,ANDHRA PRADESH,B.Tech / B.E.,"₹3,08,000",AP EAMCET,
Chandigarh Engineering College,4.6,PUNJAB,B.Tech / B.E.,Get Fee Details,Amrita Entrance Examination (AEE),
Muffakham Jah College of Engineering & Technology,3.6,TELANGANA,B.Tech / B.E.,"₹4,40,000",AP EAMCET,
Vels University (VU),3.3,TAMIL NADU,B.Tech / B.E.,"₹5,40,000",Highest Package,
CMR Institute of Technology,4.5,KARNATAKA,B.Tech / B.E.,Get Fee Details,KCET,
GH Raisoni College of Engineering,3.7,MAHARASHTRA,B.Tech / B.E.,"₹1,10,000",JEE Main,8
Siddhartha Institute of Engineering and Technology,3.8,TELANGANA,B.Tech / B.E.,Get Fee Details,AP EAMCET,12
Thangal Kunju Musaliar College of Engineering (TKMCOE),3,KERALA,B.Tech / B.E.,"₹4,03,000",KEAM,
Geethanjali College of Engineering and Technology,4.1,TELANGANA,B.Tech / B.E.,"₹3,29,500",AP EAMCET,
International Institute of Information Technology (IIIT),4.5,ODISHA,B.Tech / B.E.,"₹9,01,000",JEE Main,9
Vignan Institute of Technology and Science (VITS),4.2,TELANGANA,B.Tech / B.E.,"₹2,92,000",AP EAMCET,
Amity University - Haryana,4.1,HARYANA,B.Tech / B.E.,"₹10,61,000",JEE Main,45
University of Engineering & Management (UEM) Jaipur,3.9,RAJASTHAN,B.Tech / B.E.,"₹4,68,000",-,72
Amity School of Engineering and Technology (ASET),3.2,DELHI NCR,B.Tech / B.E.,"₹10,00,000",JEE Main,
JSS Science and Technology University,4.5,KARNATAKA,B.Tech / B.E.,"₹4,24,000",KCET,6
KS Rangasamy College of Technology,4.3,TAMIL NADU,B.Tech / B.E.,"₹2,20,000",-,
Ramrao Adik Institute of Technology,4.2,MAHARASHTRA,B.Tech / B.E.,"₹10,00,000",JEE Main,15
Lakshmi Narain College of Technology,3.7,MADHYA PRADESH,B.Tech / B.E.,Get Fee Details,JEE Main,
Sri Krishna College of Technology,4.6,TAMIL NADU,B.Tech / B.E.,Get Fee Details,TNEA,
Vivekanand Education Society's Institute of Technology,4.5,MAHARASHTRA,B.Tech / B.E.,Get Fee Details,-,
